name,tier,ongoing,topic,fight,tpc,venue,office,desc,period
Executive Directive 1(Affordable Housing),A-List,Yes,Housing Supply,Build More,$0.00,City,Mayor Bass,"Mayor Bass's Executive Directive 1, issued December 16, 2022, streamlines the City's approval process for 100% affordable housing projects by granting them mini...",2022–Present
Inside Safe,A-List,Yes,Homelessness Reduction,Care More,$0.00,City,Mayor Bass,"Inside Safe is Mayor Bass's signature homelessness initiative, launched December 2022. It is a housing-led strategy that moves unhoused Angelenos off the street...",2022–Present
LAUSD / SEIU 99 Labor Agreement,A-List,Yes,Wages,Earn More,,City,Mayor Bass,Mayor Bass personally brokered the resolution of the March 2023 SEIU Local 99 strike at LAUSD  -  the largest U.S. school worker strike in recent history  -  securi...,2023–Present
ULA Eviction Defense & Prevention,A-List,Yes,Renter's Issues,Protect More Rights,"$39,085,941.00",City/Federal,LAHD,Funding for the City's Right to Counsel program is provided by the United to House Los Angeles (ULA) Eviction Defense & Prevention Program. Amount shown reflect...,2023–Present
Adaptive Reuse Ordinance,A-List,Yes,Housing Supply,Build More,$0.00,City,Mayor Bass,"The Adaptive Reuse Ordinance allows the conversion of underutilized commercial and office buildings into residential housing. Expanded under Mayor Bass, the ord...",1999–Present
Executive Order 1(Wildfire rebuild),A-List,Yes,Housing Supply,Build More,$0.00,Federal,Mayor Bass,"Mayor Bass's Emergency Executive Order 1, issued January 2025 and revised March 2025, establishes an expedited permitting and rebuilding framework in the afterm...",2025–Present
Airport and Hotel Worker Minimum Wage Ordinance,A-List,Yes,Wages,Earn More,,City,Mayor's Office,"Signed May 2025, this ordinance raises minimum wages for airport and hotel workers at LAX and City-adjacent hotels on a scheduled path to $30/hour by July 2028 ...",2025-Present (suspended pending referendum)
Rent Stabilization Ordinance (RSO) Reform,A-List,Yes,Renter's Issues,Protect More Rights,,City,LAHD,"Approved November 2024  -  the first major RSO reform in 40 years. Caps annual rent increases at 1–4% (down from the prior 3–8% range), eliminates surcharges for ...",2025–Present
Youth Service Corps,Tier 1,Yes,Workforce Development,Earn More,"$12,867,335.00",City,EWDD,"The Youth Service Corps initiative invests in LA’s young people, provides a clear pathway to viable employment and educational opportunities, and sets them up f...",2023–Present
Shelter and Housing Program: Tiny Home Village,Tier 1,Yes,Housing Supply,Build More,"$41,208,829.00",City/County,BOE,"Planning, design, and construction of temporary interim housing and homeless services facilities for our City’s unhoused population. Tiny Home villages comprise...",2023–Present
FamilySource System (FSS),Tier 1,Yes,Holistic Support,Care More,"$30,491,613.00",City,CIFD,"
The FamilySource System (FSS) is a place-based initiative comprising nineteen centers located in high-need areas throughout the City. Designed to break the cyc...",2013–Present
Los Angeles Regional Initiative for Social Enterprise (LA:RISE),Tier 1,Yes,Homelessness Prevention,Care More,"$4,007,098.00",City,EWDD,"Initially funded in 2014 by a U.S. Department of Labor Workforce Innovation Fund (DOL WIF) grant, LA:RISE brings together social enterprises, workforce agencies...",2014–Present
